dataname,vulnerability,function_name
2018-13113,Unchecked Call Return,approveAndCall
2018-14004,Missing Access Control,developer_Coin_Character
2018-14004,Missing Access Control,developer_new_address_for_funds
2018-14004,Missing Access Control,developer_add_Exchanges
2018-14004,Missing Access Control,developer_add_cost_of_transfers
2018-14004,Missing Access Control,developer_new_price
2018-12078,Reentrancy vulnerability,transfer
2018-12078,Reentrancy vulnerability,transferFrom
2018-12078,Reentrancy vulnerability,approveAndCall
2018-13144,Reentrancy vulnerability,transfer
2018-13144,Reentrancy vulnerability,transferFrom
2018-13144,Unchecked return value,approveAndCall
2018-13144,Unchecked return value,approve
2018-13144,Unchecked return value,allowance
2018-13227,Denial of Service Vulnerability,buy
2018-13227,Denial of Service Vulnerability,sell
2018-13227,Unauthorized Token Minting,mintToken
2018-13227,Frozen Account Vulnerability,transfer
2018-13227,Frozen Account Vulnerability,transferFrom
